fixture_id,match_date,home_team,away_team,home_goals,away_goals,result,data_kind,disclaimer
SYN-0001,2032-01-03,Amber Owls,Azure Rovers,2,1,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0002,2032-01-04,Amber Owls,Copper Comets,1,3,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0003,2032-01-05,Amber Owls,Golden Kites,2,0,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0004,2032-01-06,Amber Owls,Ivory Foxes,1,1,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0005,2032-01-07,Amber Owls,Jade Harriers,2,4,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0006,2032-01-08,Amber Owls,Silver Pines,1,1,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0007,2032-01-09,Amber Owls,Violet Sparks,3,1,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0008,2032-01-10,Azure Rovers,Amber Owls,3,0,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0009,2032-01-11,Azure Rovers,Copper Comets,1,0,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0010,2032-01-12,Azure Rovers,Golden Kites,2,1,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0011,2032-01-13,Azure Rovers,Ivory Foxes,0,0,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0012,2032-01-14,Azure Rovers,Jade Harriers,0,0,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0013,2032-01-15,Azure Rovers,Silver Pines,0,2,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0014,2032-01-16,Azure Rovers,Violet Sparks,1,1,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0015,2032-01-17,Copper Comets,Amber Owls,5,2,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0016,2032-01-18,Copper Comets,Azure Rovers,0,1,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0017,2032-01-19,Copper Comets,Golden Kites,2,0,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0018,2032-01-20,Copper Comets,Ivory Foxes,0,1,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0019,2032-01-21,Copper Comets,Jade Harriers,1,1,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0020,2032-01-22,Copper Comets,Silver Pines,1,2,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0021,2032-01-23,Copper Comets,Violet Sparks,0,0,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0022,2032-01-24,Golden Kites,Amber Owls,1,0,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0023,2032-01-25,Golden Kites,Azure Rovers,1,0,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0024,2032-01-26,Golden Kites,Copper Comets,1,1,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0025,2032-01-27,Golden Kites,Ivory Foxes,4,1,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0026,2032-01-28,Golden Kites,Jade Harriers,4,1,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0027,2032-01-29,Golden Kites,Silver Pines,2,2,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0028,2032-01-30,Golden Kites,Violet Sparks,1,0,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0029,2032-01-31,Ivory Foxes,Amber Owls,2,1,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0030,2032-02-01,Ivory Foxes,Azure Rovers,3,1,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0031,2032-02-02,Ivory Foxes,Copper Comets,2,1,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0032,2032-02-03,Ivory Foxes,Golden Kites,2,1,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
